ticket_id,title,description,category,affected_service,user_department,impact,urgency,true_type,true_priority,security_flag,suggested_group,resolution_hint,predicted_type,predicted_priority,predicted_group,predicted_security_flag,confidence,evidence
INC0011,VPN connection failing,Remote user cannot connect to VPN from home network,Network,VPN,Finance,Single user,Medium,Incident,P3,False,Network Support,Check VPN client logs user group membership and MFA status,Incident,P2,Network Support,False,0.81,Network or connectivity keyword detected.
INC0012,Autopilot build failed,New laptop failed during Windows Autopilot enrolment,Endpoint,Windows Autopilot,IT,Single device,Medium,Incident,P3,False,Endpoint Support,Review Autopilot profile assignment and device hash,Incident,P3,Endpoint Support,False,0.76,Endpoint or device-management keyword detected.
INC0013,Unexpected admin consent prompt,User reports app requesting admin consent to access mailbox data,Security,Entra ID,HR,Single user,High,Incident,P2,True,Security Operations,Review enterprise app permissions and block if suspicious,Incident,P2,Security Operations,True,0.9,Security-related keyword detected.
INC0014,Distribution list update,Manager requests new users added to department distribution list,Access,Exchange Online,Marketing,Multiple users,Low,Request,P4,False,Messaging,Validate approval and update distribution group membership,Request,P4,Messaging,False,0.86,Email or Exchange Online keyword detected.
INC0015,Printer queue stuck,Office printer has multiple stuck jobs and users cannot print,Endpoint,Print Services,Operations,Multiple users,Medium,Incident,P3,False,Endpoint Support,Clear print queue restart spooler and test print,Incident,P3,Endpoint Support,False,0.76,Endpoint or device-management keyword detected.
INC0016,Account locked repeatedly,User account locks every morning after password change,Authentication,Entra ID,Finance,Single user,Medium,Incident,P3,False,Identity and Access,Check cached credentials mapped drives and mobile mail profile,Incident,P3,Identity and Access,False,0.78,Authentication or access-management keyword detected.
INC0017,Malware alert on endpoint,Defender reports malware detection on user laptop,Security,Endpoint Security,Sales,Single device,High,Incident,P1,True,Security Operations,Isolate device review Defender alert and begin incident response,Incident,P1,Security Operations,True,0.9,Security-related keyword detected.
INC0018,Request for Teams channel,Project lead requests private Teams channel for new initiative,Collaboration,Microsoft Teams,Product,Multiple users,Low,Request,P4,False,Collaboration Support,Create channel after approval and configure membership,Request,P4,Collaboration Support,False,0.8,Collaboration platform keyword detected.
INC0019,Database report export failing,Operations report fails when exporting data to CSV,Application,Reporting Portal,Operations,Multiple users,Medium,Incident,P3,False,Application Support,Check application logs export job and database query timeout,Incident,P2,Application Support,False,0.85,Application or integration keyword detected.
INC0020,API integration returning 500,Internal integration returns HTTP 500 during scheduled sync,Application,Internal API,IT,Multiple users,High,Incident,P2,False,Application Support,Check API logs recent deployments and failing payloads,Incident,P2,Application Support,False,0.85,Application or integration keyword detected.
INC0021,User reports slow laptop,Laptop takes over 15 minutes to boot and open applications,Endpoint,Windows Device,Legal,Single device,Low,Incident,P4,False,Endpoint Support,Check disk health startup apps and endpoint performance metrics,Incident,P3,Endpoint Support,False,0.76,Endpoint or device-management keyword detected.
INC0022,Finance app access issue,User can log in but receives permission error in finance system,Application,Finance App,Finance,Single user,Medium,Incident,P3,False,Application Support,Check application role assignment and recent access changes,Incident,P3,Identity and Access,False,0.78,Authentication or access-management keyword detected.
INC0023,Unknown inbox rule found,User notices suspicious forwarding rule in mailbox,Security,Exchange Online,Executive,Single user,High,Incident,P1,True,Security Operations,Remove rule revoke sessions reset password and inspect sign-in logs,Incident,P1,Security Operations,True,0.9,Security-related keyword detected.
INC0024,Request shared mailbox,Team requests shared mailbox for new project,Email,Exchange Online,Product,Multiple users,Low,Request,P4,False,Messaging,Create shared mailbox assign permissions and document owner,Request,P4,Messaging,False,0.86,Email or Exchange Online keyword detected.
INC0025,Wi-Fi dropping in meeting room,Users report unreliable Wi-Fi in one meeting room,Network,Wi-Fi,Operations,Multiple users,Medium,Incident,P3,False,Network Support,Check access point health channel interference and DHCP logs,Incident,P3,Network Support,False,0.76,Network or connectivity keyword detected.
